id;cliente;nacionalidad;comentario_completo;tipo de habitacion;noches;fecha_alojamiento;tipo_cliente;fecha de comentario
a4fd2f7c735e0c8b;Delphine;Francia;l’emplacement est idéal.;Habitación Individual con baño compartido;1 noche;septiembre de 2022;Persona que viaja sola;2022-09-02
7e39f6ed2a4c43a1;Inês;Portugal;Bien.;Habitación Doble con baño compartido;1 noche;septiembre de 2022;En grupo;2022-09-02
b0618ce354536411;Emilia;Noruega;Very charming and clean place.;Habitación Individual con baño compartido;1 noche;agosto de 2022;Persona que viaja sola;2022-09-01
e904362c0d4edac7;Elena;Alemania;The room and toilets were very clean. The stuff punctual and welcoming. Excellent position in the city center.;Habitación Doble con baño compartido;1 noche;agosto de 2022;En familia;2022-09-01
a318ff0cafea5e15;Aaron;España;Genial.Buena ubicación, personal de recepción muy amable, habitación bastante cómoda, nos gustó mucho a mi pareja y a mi.Baño compartido, pero aún así en relación calidad-precio, era lo que buscábamos mi pareja y yo.;Habitación Doble con baño compartido - 2 camas;3 noches;agosto de 2022;En familia;2022-08-31
ecc5e9758fde8713;Ignacio;España;Excepcional.;Habitación Doble con ducha - 2 camas;2 noches;agosto de 2022;Persona que viaja sola;2022-08-30
b6fd02b192f20dfc;Maxi2015;Argentina;Para sólo una noche en Cádiz.La ubicación y la amabilidad del personal. Además el café y la posibilidad de desayunar allí.Las camas casi a punto de romperse, los colchones hundidos, parecía una residencia de ancianos. La cortina del baño rota, el desagüe del aire acondicionado en un botellón dentro de la habitación que había que vaciar, la TV nunca se pudo sintonizar un solo canal, olor a humedad, parecía una cueva. Pésima relación calidad precio, pagamos casi 80 euros por mínimos servicios, parece que sólo cotizan la ubicación.;Habitación Doble con baño privado - 2 camas;3 noches;agosto de 2022;En familia;2022-08-30
4d648e78e3cc5511;Rocio;España;Fantástico.Ubicación. Limpieza. Comodidad de la cama. Personal muy amable y servicial.Habitación sin ventilación, se escuchaba absolutamente todo de la habitación de al lado y del wc compartido.;Habitación Doble con ducha - 2 camas;1 noche;agosto de 2022;En grupo;2022-08-29
c64de53be0b2be70;Torres_blancas;España;"Cantarera, precio/calidad insuperables.El alojamiento superó con creces todas mis expectativas. El lugar estaba limpísimo, los baños a compartir, lo mismo. Tienen el detalle de, pese a no estar incluído el desayuno, poner a tu disposición un pequeño office en el que tomarte un café o un tentenpié. Igualmente es muy de agradecer el que nos hayan prestado una sombrilla para la playa. Más céntrica no puede estar.La bienvenida fue muy cordial y Verónica nos explicó todo sobre la ciudad con una amabilidad digna de mencionar aquí.Los baños tienen gel y champú. La recepción cuenta con una plancha y un secador de pelo a disposición de los clientes. Alfombrillas y toallas surtidas por la pensión. El aire acondicionado funciona estupendamente y es silencioso.Si vuelvo a Cádiz, vuelvo a La Cantarera, seguro!.En ocasiones, durante la noche, si pasa el camión de la basura se le escucha bastante sacudr los cubos.";Habitación Doble con ducha - 2 camas;4 noches;agosto de 2022;En grupo;2022-08-29
3bab2fea2acc342f;Giuseppe;Italia;Muy bien.;Habitación Doble con ducha - 2 camas;1 noche;agosto de 2022;En familia;2022-08-29
