id;cliente;nacionalidad;comentario_completo;tipo de habitacion;noches;fecha_alojamiento;tipo_cliente;fecha de comentario
bb5256ccc2bf31bb;Anónimo;España;mágica.céntrico, Lugar excelente cerca de la playa la Caleta.;;3 noches;mayo de 2022;En grupo;2022-05-13
488de3bc37497ef8;Jan;Dinamarca;der var tjek på det hele - ankomst, indtjekning, parkering og rengøring af værelser.;Apartamento de 3 dormitorios (5 adultos);3 noches;mayo de 2022;En grupo;2022-05-13
3359cb3160dd209a;John;Alemania;"We were very pleased with our one-bedroom apartment at Plaza de la Luz Cádiz. It was not only well equipped but also warm and bright (which was important during chilly, rainy days in early April). Moreover, easy access to clothes washers and dryers suited us very well. As foreseen, the apartment was relatively large, sparsely furnished and largely without decoration. That suited us well as we have often stayed in small apartments with lots and lots of decorative items. Still, visitors should not expect accommodation that is cute or charming.Four other features of the apartment that we appreciated were the location, the parking, the absolute silence at night and the very smooth, efficient management of the Plaza de la Lux.";Apartamento de 1 dormitorio (2 adultos);4 noches;abril de 2022;En pareja;2022-05-13
e18d3971da838034;Charlotte;Dinamarca;Bien.;Estudio;2 noches;mayo de 2022;En pareja;2022-05-13
6421aa899385e033;Enrico;Italia;Excepcional.;Estudio;3 noches;mayo de 2022;En pareja;2022-05-12
dca8c05f7de38a6e;Toñi;España;Fantastica.Fueron muy rápidos en darnos la habitacion, ya que llegamos más temprano de la hora que había previsto.;Estudio;2 noches;mayo de 2022;En pareja;2022-05-12
9ce093182b964d1e;Pepa;España;Muy bien.La ubicación y el parking.La distribucion.;Estudio;3 noches;mayo de 2022;En familia;2022-05-12
91677a33c91b0534;Eva;España;Bien.La ubicación es ideal si trabajas en el centro.Había mucho ruido por la tarde de voces y portazos y también  por la noche hasta las 00:30 por lo menos.;Habitación Doble para uso individual;1 noche;mayo de 2022;Persona que viaja sola;2022-05-12
c26cf2df4061699f;Gilbert;Francia;Emplacement. Confort.;Estudio;1 noche;mayo de 2022;En familia;2022-05-12
2590589ccacd7db7;Amanda;Reino Unido;the property was very clean and modern ,well worth the money.;Habitación Doble Estándar;2 noches;mayo de 2022;En familia;2022-05-12
3aaccf607b7a770f;Jose;España;Excepcional.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-12
1dee6874fdbd1cda;Jacques;Francia;Fantástico.;Apartamento de 1 dormitorio (2 adultos);1 noche;mayo de 2022;En familia;2022-05-12
f77c838f134fb59f;Vlad;Rumanía;Muy bien.;Estudio;2 noches;mayo de 2022;En familia;2022-05-12
d6857ab02dd282da;Per;Noruega;Muy bien.;Apartamento de 1 dormitorio (2 adultos);2 noches;mayo de 2022;En pareja;2022-05-12
3943b24dc81c7ebd;Michael;Alemania;Freundliches Personal, großes Bad und Zimmer, super Lage, Parkhaus mit Lift dabei.;Estudio;2 noches;mayo de 2022;En pareja;2022-05-12
8361f408107e823a;Kelvin;Reino Unido;Location, roof terrace and car parking.;Habitación Doble con terraza y vistas al mar;2 noches;mayo de 2022;En pareja;2022-05-11
968f782a9d8bc2d3;Mandy;Alemania;Optimal zentral gelegen,  tolle Infos an der Rezeption und sehr freundlich, Bett bequem.;Habitación Doble Estándar;2 noches;mayo de 2022;En familia;2022-05-11
12d1eda0d5aab710;Stefano;Italia;Muy bien.;Apartamento de 1 dormitorio (2 adultos);1 noche;mayo de 2022;En pareja;2022-05-11
7b93e15a6b1ea677;Spagnolo;Italia;Bien.;Habitación Doble Estándar;1 noche;mayo de 2022;En pareja;2022-05-11
b0c1ec26cad3cf2d;Tatiana;Puerto Rico;Everything! Extra- we were celebrating our anniversary and the received us with a mini champagne bottle! Also, we had a late check in (thats why we picked up the keys from a lock box) but the host was very communicative and attentive.;Apartamento de 1 dormitorio (2 adultos);1 noche;mayo de 2022;En pareja;2022-05-11
b88d6cc367d80c29;Maria;España;Excepcional.;Estudio;1 noche;abril de 2022;En familia;2022-05-10
8c53b96e02749568;Maria;España;Excepcional.Todo, es perfecto, acogedor, limpio, buena ubicacion, personal super agradable. Volvere a ir sin duda.;Habitación Doble para uso individual;1 noche;mayo de 2022;En familia;2022-05-10
6da957c6f612041d;Abilong;España;Excepcional.;Habitación Doble Estándar;1 noche;febrero de 2022;En familia;2022-05-10
d727d3f52f854e03;Elizabeth;España;ESPECTACULAR.Ubicación perfecta, justo arriba de casa manteca un sitio espectacular para comer, El estudio súper limpio, acogedor y bonito. El personal más amable imposible.No puedo decir algo que no me gustará.;Habitación Doble Estándar;1 noche;mayo de 2022;En familia;2022-05-10
830ef8d07e20268d;Marina;Bulgaria;Бяхме в апартамент с 2 спални. Имаше и 2 бани. Идеално за 4 човека.;Apartamento de 2 dormitorios;1 noche;abril de 2022;Persona que viaja sola;2022-05-10
252161de1abb47a4;Cristina;España;Excepcional.;Habitación Doble Estándar;1 noche;febrero de 2022;En pareja;2022-05-10
77851ddb934bd855;Raul;España;Muy bien.;Estudio;1 noche;abril de 2022;En pareja;2022-05-09
d65375d3e9c57386;Armando;España;Excepcional.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-09
ca35ebf1616ec7b0;Rafael;Argentina;Hermoso dto.La comodidad del dto. Es espectacular.El barrio.;Apartamento de 2 dormitorios;1 noche;mayo de 2022;En familia;2022-05-09
ed12616765594fc5;Alain;Francia;Bien.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-09
7680abad001abed5;Daniela;Italia;Excepcional.Excelente hotel! Su ubicación perfecta, cerca a la playa y a lugares turísticos. Alberto en la recepción muy amable! Nos dio todas las indicaciones que necesitábamos. La habitación buenísima, limpia y ordenada! Amplia! Súper recomendado! Pudimos parquear el carro en el parqueadero del hotel!.;Habitación Doble Estándar;1 noche;mayo de 2022;En familia;2022-05-09
a6a6433e0f67277a;Agnès;Francia;"L'emplacement est top ! L'appartement était situé juste au dessus d'un petite ""friterie"" de quartier délicieuse et sympa. Il était d'une propreté impeccable. Le personnel de la réception est très serviable.";Estudio;2 noches;mayo de 2022;En pareja;2022-05-09
501cd08a83a5552f;Vlad;Rumanía;Excepcional.;Apartamento de 2 dormitorios;1 noche;mayo de 2022;En grupo;2022-05-09
bd83aebfee329437;Arianna;Italia;L'appartamento che avevamo non era nel blocco principale (quello dove si trova la reception dell'hotel) ma nell'edificio di fronte. Era tutto nuovo e fornito di ogni cosa. Noi abbiamo optato per il parcheggio dell'hotel (abbastanza caro ma non avevamo voglia di perdere tempo. Se si volesse ci sono diversi parcheggi sotterranei a pagamento a minor prezzo). Torneremmo di sicuro.;Habitación Doble Estándar;1 noche;mayo de 2022;En pareja;2022-05-09
94f84d3721ffbfae;Carlos;España;Muy agradable y acogedora. Ya hemos repetido y repetiremos.La acogida, información y atención.Algo elevado el precio.;Apartamento de 1 dormitorio (2 adultos);5 noches;abril de 2022;En pareja;2022-05-09
c3cc9ff688ef86cd;Johannes;Alemania;"Die Lage, Lage, Lage!! Innerhalb von 2 Minuten zu Fuß: Restaurants, Bars, Supermarkt, Friseure, … Modernes sauberes Haus. große Tiefgarage!
Überraschung: unsere Autoscheibe wurde gereinigt!.";Estudio;1 noche;mayo de 2022;En pareja;2022-05-09
557b64c1d77a7edb;Lucia;España;Excepcional.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-09
0efa0bc1d33c536d;Maria;España;Fantástico.;Estudio;3 noches;abril de 2022;En grupo;2022-05-09
53115fcc851f6442;Mercedes;España;Muy bien.;Apartamento de 2 dormitorios;2 noches;mayo de 2022;En grupo;2022-05-08
6ab5952da366cc3b;Maria;España;Correcta.La ubicación.La NO disponibilidad  de parking a pesar de ponerlo como servicio del alojamiento, lo elegí entre otras cosas por eso y mi sorpresa al llegar es que tuve que dejar el coche en la calle.;Apartamento de 2 dormitorios;2 noches;mayo de 2022;En familia;2022-05-08
ae4b6b7acc0bfbd4;Lorena;España;Muy bien.La terraza de la última planta y lo acogedor de las habitaciones.;Habitación Doble para uso individual;2 noches;mayo de 2022;En grupo;2022-05-08
37f0b0d3a9577d19;Mª;España;Excepcional.Todo perfecto, como siempre que voy.;Apartamento de 1 dormitorio (2 adultos);1 noche;abril de 2022;En familia;2022-05-08
a12edc3e353c586f;Abel;Estados Unidos;The property was in near immaculate condition and super clean. The location was centrally located to all of the major attractions and easily accessible. Our receptionist, Annabel was very personable and extremely helpful.;Habitación Doble con terraza y vistas al mar;1 noche;mayo de 2022;En pareja;2022-05-08
7f4f3b16e6a8c7bf;Onur;Turquía;Excepcional.;Estudio;2 noches;mayo de 2022;En pareja;2022-05-08
